S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Link
107,KHANDWA(28),GYANESHWAR PATIL,862679,269971,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1228.htm
108,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1229.htm
109,Jalgaon(3),SMITA UDAY WAGH,674428,251594,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S133.htm
110,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S134.htm
111,Akola(6),ANUP SANJAY DHOTRE,457030,40626,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S136.htm
112,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1310.htm
113,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1322.htm
114,Mumbai North(26),PIYUSH GOYAL,680146,357608,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1326.htm
115,Pune(34),MURLIDHAR MOHOL,584728,123038,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1334.htm
116,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1345.htm
117,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1346.htm
118,Bargarh(1),PRADEEP PUROHIT,716359,251667,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S181.htm
119,Sundargarh(2),JUAL ORAM,494282,138808,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S182.htm
120,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S183.htm
121,Keonjhar(4),ANANTA NAYAK,573923,97042,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S184.htm
122,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S185.htm
123,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S186.htm
124,Bhadrak(7),AVIMANYU SETHI,573319,91544,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S187.htm
125,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S188.htm
126,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S189.htm
127,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1810.htm
128,Kalahandi(11),MALVIKA DEVI,544303,133813,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1811.htm
129,Nabarangpur(12),BALABHADRA MAJHI,481396,87536,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1812.htm
130,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1813.htm
131,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1814.htm
132,Kendrapara(15),BAIJAYANT PANDA,615705,66536,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1815.htm
133,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1816.htm
134,Puri(17),SAMBIT PATRA,629330,104709,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1817.htm
135,Bhubaneswar(18),APARAJITA SARANGI,512519,35152,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1818.htm
136,Aska(19),ANITA SUBHADARSHINI,494226,99974,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1819.htm
137,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1820.htm
138,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S202.htm
139,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S206.htm
140,JAIPUR(7),MANJU SHARMA,886850,331767,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S207.htm
141,ALWAR(8),BHUPENDER YADAV,631992,48282,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S208.htm
142,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2013.htm
143,PALI(15),P. P. CHAUDHARY,757389,245351,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2015.htm
144,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2016.htm
145,JALORE (18),LUMBARAM,796783,201543,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2018.htm
146,UDAIPUR (19),MANNA LAL RAWAT,738286,261608,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2019.htm
147,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2021.htm
148,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2022.htm
149,BHILWARA(23),DAMODAR AGARWAL,807640,354606,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2023.htm
150,KOTA(24),OM BIRLA,750496,41974,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2024.htm
151,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2025.htm
152,Tripura West(1),BIPLAB KUMAR DEB,881341,611578,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S231.htm
153,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S232.htm
154,Amroha(9),KANWAR SINGH TANWAR,476506,28670,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S249.htm
155,Meerut(10),ARUN GOVIL,546469,10585,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2410.htm
156,Ghaziabad(12),ATUL GARG,854170,336965,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2412.htm
157,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2413.htm
158,Bulandshahr(14),DR BHOLA SINGH,597310,275134,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2414.htm
159,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2415.htm
160,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2416.htm
161,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2417.htm
162,Agra(18),PROF S P SINGH BAGHEL,599397,271294,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2418.htm
163,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2419.htm
164,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2425.htm
165,Pilibhit(26),JITIN PRASADA,607158,164935,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2426.htm
166,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2427.htm
167,Hardoi(31),JAI PRAKASH,486798,27856,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2431.htm
